project_name,builder_name,locality,area,price_min,price_max,price_per_sft,possession_date,construction_progress,land_area_acres,total_units,unit_types,complaints_on_project,complaints_on_builder,land_litigations,property_title_summary,google_reviews_score,distance_from_nearest_office_hub,builder_reliability,density,timeline_reliability,commute_score,latitude,longitude,start_date,RERA_registration_number
Concorde Midway City,Concorde Group,Hosur Road,Bengaluru South,8690668,36338113,10297,15-10-2024,100,35.39,2264,"2.5BHK, 3.5BHK, 3BHK, 4BHK",0,0,0,Clear title with no encumbrances.,4.4,8.73,0.92,63,1.0,0.81,12.9921,77.6674,25-05-2021,PRM/KA/RERA/1251/446/PR/752901/81127
Radiant White Orchid,Radiant Group,Sarjapur,Bengaluru East,13146086,43278954,11854,21-06-2021,100,16.7,1018,"2BHK, 3.5BHK",1,2,0,Clear title with no encumbrances.,4.7,1.08,0.92,60,0.9,0.9,12.8523,77.7475,10-10-2018,PRM/KA/RERA/1251/446/PR/311845/36009
Bren Imperia,Bren Corporation,Harlur,Bengaluru East,11083098,42595306,12233,25-07-2029,59,20.15,1672,"1BHK, 2BHK",2,5,0,Clear title with no encumbrances.,4.2,14.75,0.87,82,1.0,0.67,12.9235,77.6855,11-05-2024,PRM/KA/RERA/1251/446/PR/129086/11588
Bren Edge Waters,Bren Corporation,Kasavanahalli,Bengaluru East,13073344,28570656,11488,25-08-2026,100,29.68,2849,"1BHK, 3BHK",1,20,0,Clear title with no encumbrances.,4.7,10.31,0.97,95,0.9,0.89,12.931,77.6911,12-09-2022,PRM/KA/RERA/1251/446/PR/381047/27710
Confident Atria,Confident Group,Sarjapur,Bengaluru East,11347875,29322909,10087,07-03-2026,81,28.33,2294,"2.5BHK, 2BHK, 3BHK, 4BHK",0,5,0,Clear title with no encumbrances.,4.0,13.43,0.98,80,0.9,0.82,12.964,77.6805,11-08-2022,PRM/KA/RERA/1251/446/PR/378123/54408
Prestige Somerville,Prestige Estates,Whitefield,Bengaluru East,13874760,46814468,12847,11-04-2024,100,16.49,1269,"3.5BHK, 4BHK",1,2,0,Clear title with no encumbrances.,4.4,9.28,0.96,76,0.9,0.64,12.9447,77.7267,16-07-2021,PRM/KA/RERA/1251/446/PR/690737/81209
Brigade Exotica,Brigade Enterprises,Old Madras Road,Bengaluru East,13985312,19256336,11792,26-04-2022,100,35.13,3056,"2.5BHK, 2BHK, 3.5BHK, 3BHK",0,0,0,Clear title with no encumbrances.,4.5,2.19,0.83,86,0.8,0.73,12.9418,77.703,08-12-2019,PRM/KA/RERA/1251/446/PR/815992/79672
Shriram O2 Homes,Shriram Properties,Budigere Cross,Bengaluru East,12207108,33782940,10284,10-07-2024,100,12.58,779,"2BHK, 3BHK, 4BHK",10,45,0,Clear title with no encumbrances.,3.9,11.3,0.75,61,1.0,0.81,12.8685,77.6618,25-07-2021,PRM/KA/RERA/1251/446/PR/879797/89849
HM Tech Park,HM Constructions,Whitefield,Bengaluru East,13688725,38294065,11455,10-04-2026,80,37.4,2356,"3.5BHK, 3BHK",0,5,0,Clear title with no encumbrances.,4.3,4.14,0.91,62,0.9,0.84,12.8585,77.7478,08-08-2022,PRM/KA/RERA/1251/446/PR/179026/72072
Godrej Woodscapes,Godrej Properties,Budigere Cross,Bengaluru East,10805400,34459830,11745,09-11-2025,85,21.33,1429,"1BHK, 3BHK",0,0,0,Clear title with no encumbrances.,4.1,5.06,0.92,66,0.9,0.62,12.904,77.7367,18-09-2022,PRM/KA/RERA/1251/446/PR/709565/59739
Prestige White Meadows,Prestige Estates,Whitefield,Bengaluru East,18237594,27797897,16981,17-12-2027,32,32.81,2788,"1BHK, 2.5BHK, 3BHK",0,2,0,Clear title with no encumbrances.,4.0,10.58,0.92,84,1.0,0.76,12.9821,77.7207,12-12-2024,PRM/KA/RERA/1251/446/PR/713070/97680
Sobha Moonstone,Sobha Limited,Hebbal,Bengaluru North,13928304,42155784,13736,12-01-2023,100,10.9,752,"2BHK, 3.5BHK",0,10,0,Clear title with no encumbrances.,4.1,10.08,0.84,68,0.8,0.71,12.914,77.7286,20-06-2018,PRM/KA/RERA/1251/446/PR/171247/36208
Habitat Iluminar,Habitat Ventures,RVCE,Bengaluru East,15685628,44720410,14882,24-08-2028,90,20.74,1908,"1BHK, 3BHK",1,0,1,"Clear, marketable title with disclosed litigation.",4.7,11.93,0.91,91,0.8,0.94,12.9351,77.656,01-03-2023,PRM/KA/RERA/1251/446/PR/694676/56323
Prestige Raintree Park,Prestige Estates,Varthur,Bengaluru East,14107824,33695088,13872,12-12-2026,21,24.61,2190,"1BHK, 3BHK",0,45,0,Clear title with no encumbrances.,4.1,11.98,0.97,88,1.0,0.91,12.9828,77.7496,15-08-2021,PRM/KA/RERA/1251/446/PR/142529/54035
Assetz Marq 3.0,Assetz Property Group,Whitefield,Bengaluru East,11333166,18854820,10137,03-01-2028,44,39.53,2490,"1BHK, 2.5BHK, 2BHK",1,0,2,"Clear, marketable title with disclosed litigation.",3.9,9.77,0.91,62,0.9,0.77,12.9932,77.7192,24-01-2024,PRM/KA/RERA/1251/446/PR/513767/27122
Valmark CityVille,Valmark Developers,Hulimavu,Bengaluru East,11220716,25814461,11357,26-07-2024,100,22.04,1895,"1BHK, 3BHK",0,2,0,Clear title with no encumbrances.,4.2,7.28,0.94,85,0.9,0.73,12.9497,77.7103,24-07-2021,PRM/KA/RERA/1251/446/PR/992739/83126
Pavani Sarovar,Pavani Builders,Whitefield,Bengaluru East,11785248,35247024,10872,04-09-2025,54,35.82,2973,"1BHK, 2BHK, 3.5BHK, 3BHK",0,2,0,Clear title with no encumbrances.,4.4,3.79,0.88,82,0.9,0.9,12.9971,77.68,16-01-2022,PRM/KA/RERA/1251/446/PR/357313/52836
DS MAX Sista,DS MAX Properties,CV Raman Nagar,Bengaluru East,16816920,35314120,14120,03-07-2025,76,35.93,3413,"3BHK, 4BHK",1,0,0,Clear title with no encumbrances.,4.3,13.95,0.76,94,0.9,0.65,12.9562,77.6859,12-04-2020,PRM/KA/RERA/1251/446/PR/228482/75471
Bhartiya City Nikoo Homes,Bhartiya City,Thanisandra,Bengaluru North,12242758,37646194,11474,11-02-2025,29,32.46,3181,"1BHK, 2BHK",0,5,0,Clear title with no encumbrances.,4.7,7.73,0.83,97,0.9,0.94,12.8604,77.7198,13-05-2021,PRM/KA/RERA/1251/446/PR/650634/84341
Sumadhura Soham,Sumadhura Group,Whitefield,Bengaluru East,15176562,62252904,16111,09-08-2028,77,30.81,2156,"2.5BHK, 2BHK, 3.5BHK",10,5,0,Clear title with no encumbrances.,4.4,2.49,0.79,69,1.0,0.74,12.9999,77.7199,20-12-2023,PRM/KA/RERA/1251/446/PR/266086/93203
Amrutha Value,Amrutha Shelters,Whitefield,Bengaluru East,11963536,35400950,13234,23-10-2026,30,28.96,2461,"1BHK, 2.5BHK, 3.5BHK, 3BHK",0,2,0,Clear title with no encumbrances.,4.4,9.83,0.97,84,1.0,0.61,12.9185,77.7193,08-12-2022,PRM/KA/RERA/1251/446/PR/645103/54374
Sobha City,Sobha Limited,Thanisandra,Bengaluru North,14437376,52828953,14099,04-08-2026,91,11.92,739,"3.5BHK, 4BHK",1,2,0,Clear title with no encumbrances.,4.6,12.45,0.91,61,0.4,0.93,12.9692,77.7436,16-09-2023,PRM/KA/RERA/1251/446/PR/521040/92670
Total Environment In That Quiet Earth,Total Environment,Hennur,Bengaluru North,13214650,44378242,11491,19-04-2024,100,35.8,2541,"1BHK, 2BHK, 3BHK, 4BHK",0,0,0,Clear title with no encumbrances.,3.9,14.88,0.93,70,0.6,0.75,12.9602,77.7485,14-11-2021,PRM/KA/RERA/1251/446/PR/776240/24828
DSR Lotus Towers,DSR Infraprojects,Whitefield,Bengaluru East,17119376,54055016,14657,28-06-2023,100,8.52,639,"1BHK, 3.5BHK",2,0,0,Clear title with no encumbrances.,4.8,9.5,0.82,75,0.6,0.86,12.9033,77.6568,22-06-2020,PRM/KA/RERA/1251/446/PR/310803/31503
Shriram Hebbal One,Shriram Properties,Hebbal,Bengaluru North,18125289,25939991,17213,03-10-2023,100,5.84,490,"1BHK, 2.5BHK, 3BHK, 4BHK",0,20,1,"Clear, marketable title with disclosed litigation.",3.9,12.82,0.97,83,0.6,0.94,12.9364,77.7113,03-12-2018,PRM/KA/RERA/1251/446/PR/334312/39556
Brigade Orchards,Brigade Enterprises,Devanahalli,Bengaluru North,10102212,48808440,12612,09-11-2024,100,17.35,1093,"1BHK, 2.5BHK, 4BHK",0,5,0,Clear title with no encumbrances.,4.8,6.02,0.91,62,0.9,0.65,12.9437,77.6952,23-12-2019,PRM/KA/RERA/1251/446/PR/423005/61235
Abhee Celestial City,Abhee Ventures,Sarjapur,Bengaluru East,19614910,45915915,17735,04-10-2026,85,37.31,3171,"1BHK, 2.5BHK, 3.5BHK, 3BHK",0,0,0,Clear title with no encumbrances.,4.3,3.86,0.8,84,1.0,0.82,12.8565,77.7017,14-09-2021,PRM/KA/RERA/1251/446/PR/576428/78163
Aishwarya Amaze,Aishwarya Group,KR Puram,Bengaluru East,20167576,48091912,17629,24-11-2028,70,23.56,1437,"2.5BHK, 2BHK, 4BHK",2,5,0,Clear title with no encumbrances.,4.8,2.18,0.94,60,1.0,0.8,12.8818,77.7026,28-10-2023,PRM/KA/RERA/1251/446/PR/379937/32766
Rohan Iksha,Rohan Builders,Bellandur,Bengaluru East,16434099,27163800,15091,07-02-2024,100,22.57,1963,"2.5BHK, 2BHK, 3BHK, 4BHK",0,0,0,Clear title with no encumbrances.,4.0,13.87,0.93,86,0.9,0.75,12.9553,77.6942,23-06-2021,PRM/KA/RERA/1251/446/PR/876817/88725
DSR Parkway,DSR Infraprojects,Sarjapur,Bengaluru East,16556097,32228796,15231,24-05-2029,71,24.69,1481,"1BHK, 2BHK, 4BHK",0,10,0,Clear title with no encumbrances.,4.5,7.99,0.91,59,0.6,0.74,12.86,77.7129,14-06-2024,PRM/KA/RERA/1251/446/PR/477900/65954
Maithri Shilpish,Maithri Developers,Whitefield,Bengaluru East,13648800,62357955,17061,14-02-2024,100,32.12,2762,"1BHK, 2.5BHK, 3.5BHK, 4BHK",1,10,0,Clear title with no encumbrances.,4.5,14.42,0.88,85,0.9,0.76,12.905,77.6554,19-01-2020,PRM/KA/RERA/1251/446/PR/761166/55440
Rohan Antara,Rohan Builders,Varthur,Bengaluru East,15691165,45485080,14845,26-03-2027,66,27.8,2418,"3.5BHK, 3BHK",0,10,1,"Clear, marketable title with disclosed litigation.",3.8,12.66,0.93,86,0.9,0.73,12.9635,77.6882,12-10-2023,PRM/KA/RERA/1251/446/PR/269888/22880
Mfar Silverline,Mfar Developers,Whitefield,Bengaluru East,9304274,23946208,10466,23-06-2026,10,30.72,2764,"1BHK, 2.5BHK, 2BHK, 4BHK",0,2,1,"Clear, marketable title with disclosed litigation.",4.6,6.37,0.81,89,0.8,0.9,12.9767,77.6756,24-09-2022,PRM/KA/RERA/1251/446/PR/196982/38874
Habitat Eden Heights,Habitat Ventures,Hoodi,Bengaluru East,18855068,33884702,16006,04-12-2026,18,18.74,1780,"1BHK, 4BHK",0,2,2,"Clear, marketable title with disclosed litigation.",3.9,1.59,0.85,94,0.6,0.62,12.8797,77.722,19-03-2021,PRM/KA/RERA/1251/446/PR/726119/22979
Godrej Park Retreat,Godrej Properties,Sarjapur,Bengaluru East,11688708,29874864,11164,14-11-2022,100,39.36,2755,"2BHK, 3.5BHK, 3BHK, 4BHK",2,0,0,Clear title with no encumbrances.,3.9,9.53,0.86,69,1.0,0.63,12.9268,77.7081,03-01-2018,PRM/KA/RERA/1251/446/PR/350851/87868
Shriram Greenfield,Shriram Properties,Budigere Cross,Bengaluru East,12241818,36817758,11538,08-02-2022,100,23.26,2046,"2BHK, 3BHK",0,45,0,Clear title with no encumbrances.,4.2,2.65,0.77,87,0.4,0.77,12.9167,77.6591,20-09-2019,PRM/KA/RERA/1251/446/PR/291164/41572
Rohan Upavan,Rohan Builders,Off Hennur Road,Bengaluru East,17982984,33625486,16838,18-12-2026,88,21.47,1459,"1BHK, 3.5BHK",5,5,0,Clear title with no encumbrances.,4.9,1.37,0.93,67,1.0,0.69,12.9607,77.6523,18-02-2023,PRM/KA/RERA/1251/446/PR/159279/94763
Goyal Orchid Enclave,Goyal & Co,Whitefield,Bengaluru East,14212800,27216000,12600,26-02-2029,37,37.22,2382,"1BHK, 2BHK, 3.5BHK, 3BHK",0,0,0,Clear title with no encumbrances.,4.5,8.01,0.8,63,1.0,0.72,12.8915,77.7259,02-08-2024,PRM/KA/RERA/1251/446/PR/986163/35998
Adarsh Sanctuary,Adarsh Developers,Off Sarjapur Road,Bengaluru East,16372940,67021470,16810,06-01-2028,24,22.19,1819,"1BHK, 3.5BHK, 3BHK",2,0,1,"Clear, marketable title with disclosed litigation.",4.0,11.76,0.84,81,1.0,0.89,12.9792,77.6621,05-10-2023,PRM/KA/RERA/1251/446/PR/522264/32229
Vaishnavi Oasis,Vaishnavi Group,JP Nagar,Bengaluru South,10248428,19528832,10522,26-04-2022,100,20.37,1385,"1BHK, 2BHK, 3.5BHK, 3BHK",0,0,0,Clear title with no encumbrances.,4.2,7.2,0.82,67,1.0,0.93,12.9155,77.7067,24-03-2019,PRM/KA/RERA/1251/446/PR/408954/64793
Concorde Sylvan View,Concorde Group,Electronic City,Bengaluru South,15659256,40507776,15628,24-05-2026,43,3.68,231,"1BHK, 2.5BHK, 2BHK, 3.5BHK",0,10,0,Clear title with no encumbrances.,4.3,10.24,0.84,62,1.0,0.78,12.8581,77.6894,09-10-2022,PRM/KA/RERA/1251/446/PR/526847/28377
Rohan Avriti,Rohan Builders,Mahadevapura,Bengaluru East,15947056,47992000,13712,13-03-2027,87,8.06,612,"1BHK, 2.5BHK, 3.5BHK, 4BHK",0,10,0,Clear title with no encumbrances.,3.8,5.09,0.78,75,1.0,0.67,12.9045,77.6601,21-09-2022,PRM/KA/RERA/1251/446/PR/823576/17523
UKN Belvista,UKN Properties,Whitefield,Bengaluru East,11474589,35838927,11793,05-01-2021,100,13.2,1108,"2.5BHK, 2BHK",0,2,0,Clear title with no encumbrances.,4.7,14.67,0.96,83,1.0,0.82,12.857,77.6526,01-09-2018,PRM/KA/RERA/1251/446/PR/600305/98959
Salarpuria Sattva Magnolia,Salarpuria Sattva,Off Sarjapur Road,Bengaluru East,12973632,38358264,11032,05-02-2024,100,3.22,322,"3.5BHK, 4BHK",0,0,1,"Clear, marketable title with disclosed litigation.",4.6,9.31,0.94,100,0.9,0.61,12.9034,77.7006,02-03-2020,PRM/KA/RERA/1251/446/PR/869529/52627
Sobha Palladian,Sobha Limited,Marathahalli,Bengaluru East,18425899,30754869,16889,26-05-2029,88,9.41,790,"1BHK, 2BHK, 3BHK",1,5,2,"Clear, marketable title with disclosed litigation.",4.6,1.48,0.75,83,0.8,0.82,12.9001,77.7153,03-09-2024,PRM/KA/RERA/1251/446/PR/456592/72115
Sobha Galera,Sobha Limited,Kannamangala,Bengaluru East,17135960,41627450,16166,13-10-2025,18,23.75,2256,"1BHK, 2.5BHK, 2BHK, 4BHK",2,0,0,Clear title with no encumbrances.,4.4,2.74,0.83,94,0.9,0.74,12.8633,77.7409,26-04-2022,PRM/KA/RERA/1251/446/PR/123955/28135
Purva Whitehall,Puravankara,Sarjapur,Bengaluru East,16509420,42388110,17415,10-10-2024,100,7.85,714,"1BHK, 3.5BHK, 3BHK, 4BHK",2,5,0,Clear title with no encumbrances.,3.9,14.05,0.89,90,0.8,0.79,12.9067,77.6591,06-11-2019,PRM/KA/RERA/1251/446/PR/340136/84644
Purva Skydale,Puravankara,Sarjapur,Bengaluru East,14214180,37098420,14745,05-09-2028,52,30.32,2577,"2.5BHK, 3.5BHK",1,5,0,Clear title with no encumbrances.,4.3,13.21,0.89,84,1.0,0.6,12.9755,77.7196,15-07-2024,PRM/KA/RERA/1251/446/PR/303238/75583
Century Sports Village,Century Real Estate,Devanahalli,Bengaluru North,17478812,54828438,15634,10-09-2022,100,14.25,1068,"1BHK, 2.5BHK, 4BHK",0,20,0,Clear title with no encumbrances.,4.2,5.29,0.85,74,0.8,0.71,12.8543,77.7372,20-08-2019,PRM/KA/RERA/1251/446/PR/531474/46357
Birla Alokya,Birla Estates,Whitefield,Bengaluru East,11900518,41497330,10654,02-04-2028,96,35.23,2149,"3BHK, 4BHK",0,0,0,Clear title with no encumbrances.,4.4,1.34,0.92,60,0.8,0.95,12.9367,77.7175,12-08-2023,PRM/KA/RERA/1251/446/PR/358768/10769
Confident Oxygen,Confident Group,Sarjapur,Bengaluru East,15404460,51189935,17585,22-03-2027,13,32.24,2256,"2.5BHK, 3BHK",0,0,0,Clear title with no encumbrances.,4.1,7.05,0.78,69,0.9,0.75,12.9589,77.7358,28-02-2022,PRM/KA/RERA/1251/446/PR/239334/21653
Sumadhura Silver Ripples,Sumadhura Group,Whitefield,Bengaluru East,17158575,35751200,16675,24-09-2027,62,17.76,1367,"1BHK, 2BHK, 3.5BHK, 3BHK",0,2,0,Clear title with no encumbrances.,4.8,12.77,0.78,76,0.9,0.68,12.8589,77.6818,10-04-2023,PRM/KA/RERA/1251/446/PR/288992/23458
Shriram Blue,Shriram Properties,KR Puram,Bengaluru East,17521706,41103897,15343,19-04-2021,100,37.48,3448,"1BHK, 3.5BHK, 4BHK",2,2,0,Clear title with no encumbrances.,4.4,8.77,0.86,91,0.4,0.67,12.9717,77.7426,04-04-2018,PRM/KA/RERA/1251/446/PR/807934/43186
Adarsh Palm Meadows,Adarsh Developers,Whitefield,Bengaluru East,10473987,29113509,12279,17-08-2022,100,27.98,2266,"1BHK, 2BHK, 3.5BHK, 4BHK",0,5,1,"Clear, marketable title with disclosed litigation.",4.7,8.69,0.81,80,0.8,0.64,12.8549,77.7069,24-12-2018,PRM/KA/RERA/1251/446/PR/181931/10441
Brigade Caladium,Brigade Enterprises,Hebbal,Bengaluru North,14644140,52423560,17580,07-12-2027,25,11.11,699,"2.5BHK, 3.5BHK, 4BHK",2,0,0,Clear title with no encumbrances.,4.0,2.68,0.76,62,1.0,0.79,12.9658,77.6518,11-07-2023,PRM/KA/RERA/1251/446/PR/277239/25167
Eaton Park @ The Prestige City,Prestige Estates,Sompura Village,Bengaluru East,15605104,49872282,14557,18-07-2029,47,7.06,515,"2BHK, 3.5BHK, 3BHK, 4BHK",2,5,0,Clear title with no encumbrances.,4.7,2.19,0.93,72,1.0,0.76,12.9607,77.6529,24-04-2024,PRM/KA/RERA/1251/446/PR/447261/97479
Mahindra Windchimes,Mahindra Lifespaces,Bannerghatta Road,Bengaluru South,15986630,59654922,17098,25-04-2023,100,38.51,2695,"1BHK, 3BHK",0,2,0,Clear title with no encumbrances.,4.3,9.95,0.78,69,1.0,0.72,12.8579,77.7188,02-04-2020,PRM/KA/RERA/1251/446/PR/835272/23118
UKN Esperanza,UKN Properties,Whitefield,Bengaluru East,16198240,36184215,17455,02-11-2027,66,8.6,645,"1BHK, 2.5BHK, 2BHK, 3BHK",1,10,0,Clear title with no encumbrances.,4.8,12.6,0.79,75,0.6,0.92,12.9724,77.7377,18-01-2024,PRM/KA/RERA/1251/446/PR/569446/18071
Rohan Upavan Phase 2,Rohan Builders,Hennur,Bengaluru North,11062195,32017610,12305,16-01-2025,39,23.57,1932,"1BHK, 3BHK, 4BHK",1,0,0,Clear title with no encumbrances.,4.8,6.4,0.92,81,0.6,0.75,12.9285,77.7472,26-11-2021,PRM/KA/RERA/1251/446/PR/940440/46685
Mahaveer Promenade,Mahaveer Group,Whitefield,Bengaluru East,11572432,46811436,11857,06-04-2024,100,26.95,2506,"3.5BHK, 3BHK",0,2,0,Clear title with no encumbrances.,4.6,3.52,0.77,92,1.0,0.87,12.9248,77.6752,03-07-2020,PRM/KA/RERA/1251/446/PR/879187/47820
Prestige Pine Forest,Prestige Estates,ECC Road,Bengaluru East,14379408,44213733,14733,01-06-2022,100,39.01,2574,"2.5BHK, 2BHK",0,5,0,Clear title with no encumbrances.,4.6,2.39,0.79,65,1.0,0.79,12.8526,77.6986,03-04-2018,PRM/KA/RERA/1251/446/PR/212333/39427
